Latitude;Longitude;datetime
-64,3112971;-36,6351512;2014-04-15 00:21:22
-74,1049028;4,7057554;2014-04-15 00:21:23
-115,5362429;32,74062323;2014-04-15 00:21:24
-97,71463264;30,36480777;2014-04-15 00:21:24
-98,2242547;19,0144646;2014-04-15 00:21:26
-56,1985095;-34,7207614;2014-04-15 00:21:27
-81,05146819;29,1903549;2014-04-15 00:21:27
-97,9142339;29,8978472;2014-04-15 00:21:28
-99,2291151;19,36420861;2014-04-15 00:21:29
-116,8340562;32,8590249;2014-04-15 00:21:30
-92,9212186;18,0243304;2014-04-15 00:21:30
-67,832731;-9,9332607;2014-04-15 00:21:30
-111,6486457;33,2069495;2014-04-15 00:21:30
-117,6065283;34,13582289;2014-04-15 00:21:30
-76,5241584;3,4166097;2014-04-15 00:21:31
-70,6777617;19,4696302;2014-04-15 00:21:32
-95,4890628;29,717023;2014-04-15 00:21:33
-118,9851514;35,37050179;2014-04-15 00:21:33
-75,64764692;41,41391282;2014-04-15 00:21:34
-100,3522333;25,72223752;2014-04-15 00:21:35
-122,3852394;47,56110796;2014-04-15 00:21:36
-76,9919617;-12,0758914;2014-04-15 00:21:36
-56,2308066;-34,7600126;2014-04-15 00:21:36
-77,28916102;38,5998867;2014-04-15 00:21:38
-122,3037197;40,35261258;2014-04-15 00:21:38
-103,8028348;40,2517012;2014-04-15 00:21:39
-71,05527318;42,76910995;2014-04-15 00:21:41
-122,0941119;47,9869091;2014-04-15 00:21:42
-100,2884941;25,6674609;2014-04-15 00:21:43
-55,2403458;-34,3807647;2014-04-15 00:21:46
-72,70923413;41,767411;2014-04-15 00:21:48
-111,9810283;33,3267134;2014-04-15 00:21:49
-99,22292112;28,42675849;2014-04-15 00:21:50
-74,80497;10,9745249;2014-04-15 00:21:50
-118,5182765;34,02755241;2014-04-15 00:21:50
-99,28776675;19,37476131;2014-04-15 00:21:50
-50,58470091;-22,42155535;2014-04-15 00:21:50
-60,8194232;-31,7209937;2014-04-15 00:21:52
-43,6674053;-22,4096205;2014-04-15 00:21:52
-93,11911823;35,26659319;2014-04-15 00:21:52
-95,78232345;29,5498843;2014-04-15 00:21:53
-51,17572214;-30,07101875;2014-04-15 00:21:55
-79,5466266;9,1109254;2014-04-15 00:21:56
-67,8120785;-9,9676745;2014-04-15 00:21:56
-50,4007056;-26,1916692;2014-04-15 00:21:56
-86,24534559;12,11761419;2014-04-15 00:21:56
-46,79718409;-23,59702156;2014-04-15 00:21:57
-54,61477282;-25,52718839;2014-04-15 00:22:00
-100,3856424;25,79342355;2014-04-15 00:22:00
-100,2645716;25,73766402;2014-04-15 00:22:00
-111,6537792;40,2514916;2014-04-15 00:22:00
-118,5734924;34,1912218;2014-04-15 00:22:01
-65,2007465;-26,8221099;2014-04-15 00:22:01
-74,19487902;40,89393694;2014-04-15 00:22:03
-107,3787199;24,8150168;2014-04-15 00:22:03
-100,5786832;28,68159854;2014-04-15 00:22:04
-0,34311477;39,47211884;2014-04-15 00:22:04
-59,99266253;-3,11929415;2014-04-15 00:22:05
-96,1669986;19,2030673;2014-04-15 00:22:05
-96,71083359;33,47687383;2014-04-15 00:22:06
-121,8180054;37,31219504;2014-04-15 00:22:06
-96,14460361;19,09922273;2014-04-15 00:22:10
-97,00398551;33,03453992;2014-04-15 00:22:11
-117,8290254;33,82109044;2014-04-15 00:22:12
-93,60407051;41,63409578;2014-04-15 00:22:12
-64,2057985;-31,4810743;2014-04-15 00:22:15
-97,1278674;32,6918453;2014-04-15 00:22:15
-63,89274614;-8,7915063;2014-04-15 00:22:17
-65,95634957;18,39720792;2014-04-15 00:22:17
-93,63738195;43,26670564;2014-04-15 00:22:18
-74,02880354;4,75396797;2014-04-15 00:22:19
-76,2982042;3,516665;2014-04-15 00:22:20
-90,7232264;35,82209393;2014-04-15 00:22:21
-76,1684455;40,6408842;2014-04-15 00:22:21
-115,087267;36,14678992;2014-04-15 00:22:22
-91,52706384;41,66306911;2014-04-15 00:22:23
-43,3168808;-22,8720075;2014-04-15 00:22:24
-99,17775223;19,38845353;2014-04-15 00:22:24
-97,395649;27,7342839;2014-04-15 00:22:24
-87,27946918;36,50643591;2014-04-15 00:22:24
-75,92919541;39,80843468;2014-04-15 00:22:26
-99,15052921;23,77216289;2014-04-15 00:22:27
-89,99934252;29,23930634;2014-04-15 00:22:28
-118,1466035;33,91458133;2014-04-15 00:22:28
-100,2631154;25,7344511;2014-04-15 00:22:29
-79,6789015;-3,6809418;2014-04-15 00:22:29
-92,95233973;18,00270565;2014-04-15 00:22:29
-46,74321033;-22,18115042;2014-04-15 00:22:30
-48,6413625;-26,932943;2014-04-15 00:22:30
-101,5884996;17,66667252;2014-04-15 00:22:30
-74,790286;10,9640084;2014-04-15 00:22:31
-88,2814671;18,5089595;2014-04-15 00:22:34
-74,8816641;39,95303717;2014-04-15 00:22:37
-74,13621293;39,95420274;2014-04-15 00:22:37
-58,0085339;-31,3787685;2014-04-15 00:22:39
-78,45722851;-0,28786449;2014-04-15 00:22:41
-84,08544317;9,91129077;2014-04-15 00:22:42
